name,state
Bombuflat,Andaman and Nicobar Islands
Garacharma,Andaman and Nicobar Islands
Port Blair,Andaman and Nicobar Islands
Rangat,Andaman and Nicobar Islands
Addanki,Andhra Pradesh
Adivivaram,Andhra Pradesh
Adoni,Andhra Pradesh
Aganampudi,Andhra Pradesh
Ajjaram,Andhra Pradesh
Akividu,Andhra Pradesh
Akkarampalle,Andhra Pradesh
Akkayapalle,Andhra Pradesh
Akkireddipalem,Andhra Pradesh
Alampur,Andhra Pradesh
Amalapuram,Andhra Pradesh
Amudalavalasa,Andhra Pradesh
Amur,Andhra Pradesh
Anakapalle,Andhra Pradesh
Anantapur,Andhra Pradesh
Andole,Andhra Pradesh
Atmakur,Andhra Pradesh
Attili,Andhra Pradesh
Avanigadda,Andhra Pradesh
Badepalli,Andhra Pradesh
Badvel,Andhra Pradesh
Balapur,Andhra Pradesh
Bandarulanka,Andhra Pradesh
Banganapalle,Andhra Pradesh
Bapatla,Andhra Pradesh
Bapulapadu,Andhra Pradesh
Belampalli,Andhra Pradesh
Bestavaripeta,Andhra Pradesh
Betamcherla,Andhra Pradesh
Bhattiprolu,Andhra Pradesh
Bhimavaram,Andhra Pradesh
Bhimunipatnam,Andhra Pradesh
Bobbili,Andhra Pradesh
Bombuflat,Andhra Pradesh
Bommuru,Andhra Pradesh
Bugganipalle,Andhra Pradesh
Challapalle,Andhra Pradesh
Chandur,Andhra Pradesh
Chatakonda,Andhra Pradesh
Chemmumiahpet,Andhra Pradesh
Chidiga,Andhra Pradesh
Chilakaluripet,Andhra Pradesh
Chimakurthy,Andhra Pradesh
Chinagadila,Andhra Pradesh
Chinagantyada,Andhra Pradesh
Chinnachawk,Andhra Pradesh
Chintalavalasa,Andhra Pradesh
Chipurupalle,Andhra Pradesh
Chirala,Andhra Pradesh
Chittoor,Andhra Pradesh
Chodavaram,Andhra Pradesh
Choutuppal,Andhra Pradesh
Chunchupalle,Andhra Pradesh
Cuddapah,Andhra Pradesh
Cumbum,Andhra Pradesh
Darnakal,Andhra Pradesh
Dasnapur,Andhra Pradesh
Dauleshwaram,Andhra Pradesh
Dharmavaram,Andhra Pradesh
Dhone,Andhra Pradesh
Dommara Nandyal,Andhra Pradesh
Dowlaiswaram,Andhra Pradesh
East Godavari Dist.,Andhra Pradesh
Eddumailaram,Andhra Pradesh
Edulapuram,Andhra Pradesh
Ekambara kuppam,Andhra Pradesh
Eluru,Andhra Pradesh
Enikapadu,Andhra Pradesh
Fakirtakya,Andhra Pradesh
Farrukhnagar,Andhra Pradesh
Gaddiannaram,Andhra Pradesh
Gajapathinagaram,Andhra Pradesh
Gajularega,Andhra Pradesh
Gajuvaka,Andhra Pradesh
Gannavaram,Andhra Pradesh
Garacharma,Andhra Pradesh
Garimellapadu,Andhra Pradesh
Giddalur,Andhra Pradesh
Godavarikhani,Andhra Pradesh
Gopalapatnam,Andhra Pradesh
Gopalur,Andhra Pradesh
Gorrekunta,Andhra Pradesh
Gudivada,Andhra Pradesh
Gudur,Andhra Pradesh
Guntakal,Andhra Pradesh
Guntur,Andhra Pradesh
Guti,Andhra Pradesh
Hindupur,Andhra Pradesh
Hukumpeta,Andhra Pradesh
Ichchapuram,Andhra Pradesh
Isnapur,Andhra Pradesh
Jaggayyapeta,Andhra Pradesh
Jallaram Kamanpur,Andhra Pradesh
Jammalamadugu,Andhra Pradesh
Jangampalli,Andhra Pradesh
Jarjapupeta,Andhra Pradesh
Kadiri,Andhra Pradesh
Kaikalur,Andhra Pradesh
Kakinada,Andhra Pradesh
Kallur,Andhra Pradesh
Kalyandurg,Andhra Pradesh
Kamalapuram,Andhra Pradesh
Kamareddi,Andhra Pradesh
Kanapaka,Andhra Pradesh
Kanigiri,Andhra Pradesh
Kanithi,Andhra Pradesh
Kankipadu,Andhra Pradesh
Kantabamsuguda,Andhra Pradesh
Kanuru,Andhra Pradesh
Karnul,Andhra Pradesh
Katheru,Andhra Pradesh
Kavali,Andhra Pradesh
Kazipet,Andhra Pradesh
Khanapuram Haveli,Andhra Pradesh
Kodar,Andhra Pradesh
Kollapur,Andhra Pradesh
Kondapalem,Andhra Pradesh
Kondapalle,Andhra Pradesh
Kondukur,Andhra Pradesh
Kosgi,Andhra Pradesh
Kothavalasa,Andhra Pradesh
Kottapalli,Andhra Pradesh
Kovur,Andhra Pradesh
Kovurpalle,Andhra Pradesh
Kovvur,Andhra Pradesh
Krishna,Andhra Pradesh
Kuppam,Andhra Pradesh
Kurmannapalem,Andhra Pradesh
Kurnool,Andhra Pradesh
Lakshettipet,Andhra Pradesh
Lalbahadur Nagar,Andhra Pradesh
Machavaram,Andhra Pradesh
Macherla,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Madanapalle,Andhra Pradesh
Madaram,Andhra Pradesh
Madhuravada,Andhra Pradesh
Madikonda,Andhra Pradesh
Madugule,Andhra Pradesh
Mahabubnagar,Andhra Pradesh
Mahbubabad,Andhra Pradesh
Malkajgiri,Andhra Pradesh
Mamilapalle,Andhra Pradesh
Mancheral,Andhra Pradesh
Mandapeta,Andhra Pradesh
Mandasa,Andhra Pradesh
Mangalagiri,Andhra Pradesh
Manthani,Andhra Pradesh
Markapur,Andhra Pradesh
Marturu,Andhra Pradesh
Metpalli,Andhra Pradesh
Mindi,Andhra Pradesh
Mirpet,Andhra Pradesh
Moragudi,Andhra Pradesh
Mothugudam,Andhra Pradesh
Nagari,Andhra Pradesh
Nagireddipalle,Andhra Pradesh
Nandigama,Andhra Pradesh
Nandikotkur,Andhra Pradesh
Nandyal,Andhra Pradesh
Narasannapeta,Andhra Pradesh
Narasapur,Andhra Pradesh
Narasaraopet,Andhra Pradesh
Narayanavanam,Andhra Pradesh
Narsapur,Andhra Pradesh
Narsingi,Andhra Pradesh
Narsipatnam,Andhra Pradesh
Naspur,Andhra Pradesh
Nathayyapalem,Andhra Pradesh
Nayudupeta,Andhra Pradesh
Nelimaria,Andhra Pradesh
Nellore,Andhra Pradesh
Nidadavole,Andhra Pradesh
Nuzvid,Andhra Pradesh
Omerkhan daira,Andhra Pradesh
Ongole,Andhra Pradesh
Osmania University,Andhra Pradesh
Pakala,Andhra Pradesh
Palakole,Andhra Pradesh
Palakurthi,Andhra Pradesh
Palasa,Andhra Pradesh
Palempalle,Andhra Pradesh
Palkonda,Andhra Pradesh
Palmaner,Andhra Pradesh
Pamur,Andhra Pradesh
Panjim,Andhra Pradesh
Papampeta,Andhra Pradesh
Parasamba,Andhra Pradesh
Parvatipuram,Andhra Pradesh
Patancheru,Andhra Pradesh
Payakaraopet,Andhra Pradesh
Pedagantyada,Andhra Pradesh
Pedana,Andhra Pradesh
Peddapuram,Andhra Pradesh
Pendurthi,Andhra Pradesh
Penugonda,Andhra Pradesh
Penukonda,Andhra Pradesh
Phirangipuram,Andhra Pradesh
Pithapuram,Andhra Pradesh
Ponnur,Andhra Pradesh
Port Blair,Andhra Pradesh
Pothinamallayyapalem,Andhra Pradesh
Prakasam,Andhra Pradesh
Prasadampadu,Andhra Pradesh
Prasantinilayam,Andhra Pradesh
Proddatur,Andhra Pradesh
Pulivendla,Andhra Pradesh
Punganuru,Andhra Pradesh
Puttur,Andhra Pradesh
Qutubullapur,Andhra Pradesh
Rajahmundry,Andhra Pradesh
Rajamahendri,Andhra Pradesh
Rajampet,Andhra Pradesh
Rajendranagar,Andhra Pradesh
Rajoli,Andhra Pradesh
Ramachandrapuram,Andhra Pradesh
Ramanayyapeta,Andhra Pradesh
Ramapuram,Andhra Pradesh
Ramarajupalli,Andhra Pradesh
Ramavarappadu,Andhra Pradesh
Rameswaram,Andhra Pradesh
Rampachodavaram,Andhra Pradesh
Ravulapalam,Andhra Pradesh
Rayachoti,Andhra Pradesh
Rayadrug,Andhra Pradesh
Razam,Andhra Pradesh
Razole,Andhra Pradesh
Renigunta,Andhra Pradesh
Repalle,Andhra Pradesh
Rishikonda,Andhra Pradesh
Salur,Andhra Pradesh
Samalkot,Andhra Pradesh
Sattenapalle,Andhra Pradesh
Seetharampuram,Andhra Pradesh
Serilungampalle,Andhra Pradesh
Shankarampet,Andhra Pradesh
Shar,Andhra Pradesh
Singarayakonda,Andhra Pradesh
Sirpur,Andhra Pradesh
Sirsilla,Andhra Pradesh
Sompeta,Andhra Pradesh
Sriharikota,Andhra Pradesh
Srikakulam,Andhra Pradesh
Srikalahasti,Andhra Pradesh
Sriramnagar,Andhra Pradesh
Sriramsagar,Andhra Pradesh
Srisailam,Andhra Pradesh
Srisailamgudem Devasthanam,Andhra Pradesh
Sulurpeta,Andhra Pradesh
Suriapet,Andhra Pradesh
Suryaraopet,Andhra Pradesh
Tadepalle,Andhra Pradesh
Tadepalligudem,Andhra Pradesh
Tadpatri,Andhra Pradesh
Tallapalle,Andhra Pradesh
Tanuku,Andhra Pradesh
Tekkali,Andhra Pradesh
Tenali,Andhra Pradesh
Tigalapahad,Andhra Pradesh
Tiruchanur,Andhra Pradesh
Tirumala,Andhra Pradesh
Tirupati,Andhra Pradesh
Tirvuru,Andhra Pradesh
Trimulgherry,Andhra Pradesh
Tuni,Andhra Pradesh
Turangi,Andhra Pradesh
Ukkayapalli,Andhra Pradesh
Ukkunagaram,Andhra Pradesh
Uppal Kalan,Andhra Pradesh
Upper Sileru,Andhra Pradesh
Uravakonda,Andhra Pradesh
Vadlapudi,Andhra Pradesh
Vaparala,Andhra Pradesh
Vemalwada,Andhra Pradesh
Venkatagiri,Andhra Pradesh
Venkatapuram,Andhra Pradesh
Vepagunta,Andhra Pradesh
Vetapalem,Andhra Pradesh
Vijayapuri,Andhra Pradesh
Vijayapuri South,Andhra Pradesh
Vijayawada,Andhra Pradesh
Vinukonda,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Vuyyuru,Andhra Pradesh
Wanparti,Andhra Pradesh
West Godavari Dist.,Andhra Pradesh
Yadagirigutta,Andhra Pradesh
Yarada,Andhra Pradesh
Yellamanchili,Andhra Pradesh
Yemmiganur,Andhra Pradesh
Yenamalakudru,Andhra Pradesh
Yendada,Andhra Pradesh
Yerraguntla,Andhra Pradesh
Along,Arunachal Pradesh
Basar,Arunachal Pradesh
Bondila,Arunachal Pradesh
Changlang,Arunachal Pradesh
Daporijo,Arunachal Pradesh
Deomali,Arunachal Pradesh
Itanagar,Arunachal Pradesh
Jairampur,Arunachal Pradesh
Khonsa,Arunachal Pradesh
Naharlagun,Arunachal Pradesh
Namsai,Arunachal Pradesh
Pasighat,Arunachal Pradesh
Roing,Arunachal Pradesh
Seppa,Arunachal Pradesh
Tawang,Arunachal Pradesh
Tezu,Arunachal Pradesh
Ziro,Arunachal Pradesh
Abhayapuri,Assam
Ambikapur,Assam
Amguri,Assam
Anand Nagar,Assam
Badarpur,Assam
Badarpur Railway Town,Assam
Bahbari Gaon,Assam
Bamun Sualkuchi,Assam
Barbari,Assam
Barpathar,Assam
Barpeta,Assam
Barpeta Road,Assam
Basugaon,Assam
Bihpuria,Assam
Bijni,Assam
Bilasipara,Assam
Biswanath Chariali,Assam
Bohori,Assam
Bokajan,Assam
Bokokhat,Assam
Bongaigaon,Assam
Bongaigaon Petro-chemical Town,Assam
Borgolai,Assam
Chabua,Assam
Chandrapur Bagicha,Assam
Chapar,Assam
Chekonidhara,Assam
Choto Haibor,Assam
Dergaon,Assam
Dharapur,Assam
Dhekiajuli,Assam
Dhemaji,Assam
Dhing,Assam
Dhubri,Assam
Dhuburi,Assam
Dibrugarh,Assam
Digboi,Assam
Digboi Oil Town,Assam
Dimaruguri,Assam
Diphu,Assam
Dispur,Assam
Doboka,Assam
Dokmoka,Assam
Donkamokan,Assam
Duliagaon,Assam
Duliajan,Assam
Dum Duma,Assam
Durga Nagar,Assam
Gauripur,Assam
Goalpara,Assam
Gohpur,Assam
Golaghat,Assam
Golakganj,Assam
Gossaigaon,Assam
Guwahati,Assam
Haflong,Assam
Hailakandi,Assam
Hamren,Assam
Hauli,Assam
Hauraghat,Assam
Hojai,Assam
Jagiroad,Assam
Jagiroad Paper Mill,Assam
Jogighopa,Assam
Jonai Bazar,Assam
Jorhat,Assam
Kampur Town,Assam
Kamrup,Assam
Kanakpur,Assam
Karimganj,Assam
Kharijapikon,Assam
Kharupetia,Assam
Kochpara,Assam
Kokrajhar,Assam
Kumar Kaibarta Gaon,Assam
Lakhimpur,Assam
Lakhipur,Assam
Lala,Assam
Lanka,Assam
Lido Tikok,Assam
Lido Town,Assam
Lumding,Assam
Lumding Railway Colony,Assam
Mahur,Assam
Maibong,Assam
Majgaon,Assam
Makum,Assam
Mangaldai,Assam
Mankachar,Assam
Margherita,Assam
Mariani,Assam
Marigaon,Assam
Moran,Assam
Moranhat,Assam
Nagaon,Assam
Naharkatia,Assam
Nalbari,Assam
Namrup,Assam
Naubaisa Gaon,Assam
Nazira,Assam
New Bongaigaon Railway Colony,Assam
Niz-Hajo,Assam
North Guwahati,Assam
Numaligarh,Assam
Palasbari,Assam
Panchgram,Assam
Pathsala,Assam
Raha,Assam
Rangapara,Assam
Rangia,Assam
Salakati,Assam
Sapatgram,Assam
Sarthebari,Assam
Sarupathar,Assam
Senchoagaon,Assam
Sibsagar,Assam
Silapathar,Assam
Silchar,Assam
Sonari,Assam
Sorbhog,Assam
Sualkuchi,Assam
Tangla,Assam
Tezpur,Assam
Tihu,Assam
Tinsukia,Assam
Titabor,Assam
Udalguri,Assam
Umrangso,Assam
Amarpur,Bihar
Ara,Bihar
Araria,Bihar
Areraj,Bihar
Asarganj,Bihar
Aurangabad,Bihar
Bagaha,Bihar
Bahadurganj,Bihar
Bairgania,Bihar
Bakhtiyarpur,Bihar
Banka,Bihar
Banmankhi,Bihar
Bar Bigha,Bihar
Barauli,Bihar
Barauni Oil Township,Bihar
Barh,Bihar
Barhiya,Bihar
Bariapur,Bihar
Baruni,Bihar
Begusarai,Bihar
Behea,Bihar
Belsand,Bihar
Bettiah,Bihar
Bhabua,Bihar
Bhagalpur,Bihar
Bhimnagar,Bihar
Bhojpur,Bihar
Bihar,Bihar
Bihar Sharif,Bihar
Bihariganj,Bihar
Bikramganj,Bihar
Birpur,Bihar
Bodh Gaya,Bihar
Buxar,Bihar
Chakia,Bihar
Chanpatia,Bihar
Chhapra,Bihar
Chhatapur,Bihar
