name,country
Andaman and Nicobar Islands,India
Andhra Pradesh,India
Arunachal Pradesh,India
Assam,India
Bihar,India
Chandigarh,India
Chhattisgarh,India
Dadra and Nagar Haveli,India
Daman and Diu,India
Delhi,India
Goa,India
Gujarat,India
Haryana,India
Himachal Pradesh,India
Jammu and Kashmir,India
Jharkhand,India
Karnataka,India
Kerala,India
Lakshadweep,India
Madhya Pradesh,India
Maharashtra,India
Manipur,India
Meghalaya,India
Mizoram,India
Nagaland,India
Odisha,India
Pondicherry,India
Punjab,India
Rajasthan,India
Sikkim,India
Tamil Nadu,India
Telangana,India
Tripura,India
Uttar Pradesh,India
Uttarakhand,India
West Bengal,India
Aberdeen,United Kingdom
Aberdeenshire,United Kingdom
Argyll,United Kingdom
Armagh,United Kingdom
Bedfordshire,United Kingdom
Belfast,United Kingdom
Berkshire,United Kingdom
Birmingham,United Kingdom
Brechin,United Kingdom
Bridgnorth,United Kingdom
Bristol,United Kingdom
Buckinghamshire,United Kingdom
Cambridge,United Kingdom
Cambridgeshire,United Kingdom
Channel Islands,United Kingdom
Cheshire,United Kingdom
Cleveland,United Kingdom
Co Fermanagh,United Kingdom
Conwy,United Kingdom
Cornwall,United Kingdom
Coventry,United Kingdom
Craven Arms,United Kingdom
Cumbria,United Kingdom
Denbighshire,United Kingdom
Derby,United Kingdom
Derbyshire,United Kingdom
Devon,United Kingdom
Dial Code Dungannon,United Kingdom
Didcot,United Kingdom
Dorset,United Kingdom
Dunbartonshire,United Kingdom
Durham,United Kingdom
East Dunbartonshire,United Kingdom
East Lothian,United Kingdom
East Midlands,United Kingdom
East Sussex,United Kingdom
East Yorkshire,United Kingdom
England,United Kingdom
Essex,United Kingdom
Fermanagh,United Kingdom
Fife,United Kingdom
Flintshire,United Kingdom
Fulham,United Kingdom
Gainsborough,United Kingdom
Glocestershire,United Kingdom
Gwent,United Kingdom
Hampshire,United Kingdom
Hants,United Kingdom
Herefordshire,United Kingdom
Hertfordshire,United Kingdom
Ireland,United Kingdom
Isle Of Man,United Kingdom
Isle of Wight,United Kingdom
Kenford,United Kingdom
Kent,United Kingdom
Kilmarnock,United Kingdom
Lanarkshire,United Kingdom
Lancashire,United Kingdom
Leicestershire,United Kingdom
Lincolnshire,United Kingdom
Llanymynech,United Kingdom
London,United Kingdom
Ludlow,United Kingdom
Manchester,United Kingdom
Mayfair,United Kingdom
Merseyside,United Kingdom
Mid Glamorgan,United Kingdom
Middlesex,United Kingdom
Mildenhall,United Kingdom
Monmouthshire,United Kingdom
Newton Stewart,United Kingdom
Norfolk,United Kingdom
North Humberside,United Kingdom
North Yorkshire,United Kingdom
Northamptonshire,United Kingdom
Northants,United Kingdom
Northern Ireland,United Kingdom
Northumberland,United Kingdom
Nottinghamshire,United Kingdom
Oxford,United Kingdom
Powys,United Kingdom
Roos-shire,United Kingdom
SUSSEX,United Kingdom
Sark,United Kingdom
Scotland,United Kingdom
Scottish Borders,United Kingdom
Shropshire,United Kingdom
Somerset,United Kingdom
South Glamorgan,United Kingdom
South Wales,United Kingdom
South Yorkshire,United Kingdom
Southwell,United Kingdom
Staffordshire,United Kingdom
Strabane,United Kingdom
Suffolk,United Kingdom
Surrey,United Kingdom
Sussex,United Kingdom
Twickenham,United Kingdom
Tyne and Wear,United Kingdom
Tyrone,United Kingdom
Utah,United Kingdom
Wales,United Kingdom
Warwickshire,United Kingdom
West Lothian,United Kingdom
West Midlands,United Kingdom
West Sussex,United Kingdom
West Yorkshire,United Kingdom
Whissendine,United Kingdom
Wiltshire,United Kingdom
Wokingham,United Kingdom
Worcestershire,United Kingdom
Wrexham,United Kingdom
Wurttemberg,United Kingdom
Yorkshire,United Kingdom
Badakhshan,Afghanistan
